Timestamp(ms),Current(uA),D0-D7
9670,764.605,00000000
9680,792.061,00000000
9690,748.261,00000000
9700,750.593,00000000
9710,735.938,00000000
9720,742.969,00000000
9730,733.053,00000000
9740,743.893,00000000
9750,786.399,00000000
9760,779.273,00000000
9770,745.046,00000000
9780,749.003,00000000
9790,734.730,00000000
9800,742.042,00000000
9810,731.749,00000000
9820,766.715,00000000
9830,783.280,00000000
9840,761.446,00000000
9850,742.706,00000000
9860,746.438,00000000
9870,734.399,00000000
9880,741.790,00000000
9890,731.289,00000000
9900,787.032,00000000
9910,776.623,00000000
9920,751.879,00000000
9930,738.872,00000000
9940,743.340,00000000
9950,732.692,00000000
9960,740.363,00000000
9970,748.343,00000000
9980,790.318,00000000
9990,749.937,00000000
10000,748.769,00000000
10010,735.501,00000000
10020,741.055,00000000
10030,731.927,00000000
10040,739.942,00000000
10050,770.892,00000000
10060,785.041,00000000
10070,742.345,00000000
10080,746.662,00000000
10090,734.036,00000000
10100,740.569,00000000
10110,731.599,00000000
10120,749.024,00000000
10130,789.606,00000000
10140,763.953,00000000
10150,741.301,00000000
10160,744.311,00000000
10170,733.234,00000000
10180,738.404,00000000
10190,730.186,00000000
10200,773.711,00000000
10210,782.168,00000000
10220,751.168,00000000
10230,738.104,00000000
10240,740.673,00000000
10250,730.814,00000000
10260,737.754,00000000
10270,733.112,00000000
10280,795.606,00000000
10290,763.739,00000000
10300,749.179,00000000
10310,737.280,00000000
10320,742.486,00000000
10330,731.786,00000000
10340,739.025,00000000
10350,757.761,00000000
10360,790.737,00000000
10370,747.710,00000000
10380,746.872,00000000
10390,733.468,00000000
10400,738.777,00000000
10410,729.273,00000000
10420,736.272,00000000
10430,781.305,00000000
10440,785.683,00000000
10450,741.470,00000000
10460,743.930,00000000
10470,731.986,00000000
10480,737.093,00000000
10490,728.769,00000000
10500,757.104,00000000
10510,783.054,00000000
10520,757.382,00000000
10530,739.107,00000000
10540,740.871,00000000
10550,730.110,00000000
10560,736.247,00000000
10570,728.616,00000000
10580,781.161,00000000
10590,777.409,00000000
10600,749.403,00000000
10610,736.933,00000000
10620,738.792,00000000
10630,729.273,00000000
10640,735.311,00000000
10650,738.567,00000000
10660,789.380,00000000
10670,752.939,00000000
10680,745.692,00000000
10690,733.239,00000000
10700,737.982,00000000
10710,729.411,00000000
10720,735.849,00000000
10730,764.310,00000000
10740,785.960,00000000
10750,743.150,00000000
10760,744.710,00000000
10770,732.089,00000000
10780,737.333,00000000
10790,728.744,00000000
10800,739.267,00000000
10810,784.178,00000000
10820,767.294,00000000
10830,740.307,00000000
10840,741.997,00000000
10850,730.980,00000000
10860,735.652,00000000
10870,727.666,00000000
10880,763.011,00000000
10890,778.488,00000000
10900,752.452,00000000
10910,737.254,00000000
10920,738.787,00000000
10930,729.187,00000000
10940,735.407,00000000
10950,727.247,00000000
10960,785.420,00000000
10970,773.537,00000000
10980,748.927,00000000
10990,735.514,00000000
11000,737.884,00000000
11010,728.685,00000000
11020,734.902,00000000
11030,747.634,00000000
11040,785.363,00000000
11050,744.719,00000000
11060,742.622,00000000
11070,730.360,00000000
11080,735.227,00000000
11090,727.697,00000000
11100,734.661,00000000
11110,771.544,00000000
11120,778.910,00000000
11130,738.220,00000000
11140,741.481,00000000
11150,730.049,00000000
11160,735.619,00000000
11170,727.230,00000000
11180,747.194,00000000
11190,780.305,00000000
11200,757.192,00000000
11210,737.380,00000000
11220,739.946,00000000
11230,729.608,00000000
11240,736.313,00000000
11250,728.959,00000000
11260,773.513,00000000
11270,777.658,00000000
11280,748.683,00000000
11290,735.936,00000000
11300,738.268,00000000
11310,728.450,00000000
11320,734.319,00000000
11330,733.010,00000000
11340,794.910,00000000
11350,761.208,00000000
11360,723.215,00000000
11370,724.435,00000000
11380,734.022,00000000
11390,726.871,00000000
11400,734.844,00000000
11410,727.384,00000000
11420,734.847,00000000
11430,727.139,00000000
11440,734.954,00000000
11450,727.402,00000000
11460,734.467,00000000
11470,727.723,00000000
11480,734.715,00000000
11490,727.380,00000000
11500,734.324,00000000
11510,727.235,00000000
11520,734.267,00000000
11530,727.473,00000000
11540,734.342,00000000
11550,727.297,00000000
11560,734.646,00000000
11570,726.880,00000000
11580,734.012,00000000
11590,726.873,00000000
11600,734.776,00000000
11610,727.375,00000000
11620,733.530,00000000
11630,726.874,00000000
11640,733.656,00000000
11650,726.837,00000000
11660,734.668,00000000
11670,727.127,00000000
11680,735.381,00000000
11690,727.928,00000000
11700,735.462,00000000
11710,727.923,00000000
11720,735.431,00000000
11730,727.820,00000000
11740,734.805,00000000
11750,727.725,00000000
11760,734.888,00000000
11770,727.331,00000000
11780,734.635,00000000
11790,727.596,00000000
11800,734.332,00000000
11810,727.178,00000000
11820,734.817,00000000
11830,727.627,00000000
11840,733.984,00000000
11850,726.748,00000000
11860,734.388,00000000
11870,727.083,00000000
11880,734.059,00000000
11890,727.092,00000000
11900,734.298,00000000
11910,726.986,00000000
11920,734.021,00000000
11930,727.406,00000000
11940,734.126,00000000
11950,727.019,00000000
11960,733.725,00000000
11970,726.275,00000000
11980,734.289,00000000
11990,727.199,00000000
12000,734.467,00000000
12010,726.585,00000000
12020,733.674,00000000
12030,726.215,00000000
12040,733.668,00000000
12050,726.841,00000000
12060,733.752,00000000
12070,727.759,00000000
12080,734.892,00000000
12090,727.657,00000000
12100,734.478,00000000
12110,727.175,00000000
12120,735.033,00000000
12130,727.091,00000000
12140,734.458,00000000
12150,727.575,00000000
12160,734.745,00000000
12170,727.995,00000000
12180,735.087,00000000
12190,727.164,00000000
12200,734.571,00000000
12210,726.944,00000000
12220,734.325,00000000
12230,727.131,00000000
12240,733.960,00000000
12250,726.274,00000000
12260,733.922,00000000
12270,727.105,00000000
12280,734.545,00000000
12290,727.358,00000000
12300,734.128,00000000
