Timestamp(ms),Current(uA),D0-D7
6780,760.567,00000000
6790,755.615,00000000
6800,759.482,00000000
6810,755.292,00000000
6820,760.897,00000000
6830,755.611,00000000
6840,760.677,00000000
6850,756.417,00000000
6860,761.180,00000000
6870,755.271,00000000
6880,759.732,00000000
6890,755.810,00000000
6900,758.951,00000000
6910,754.376,00000000
6920,759.405,00000000
6930,755.151,00000000
6940,760.786,00000000
6950,755.548,00000000
6960,760.251,00000000
6970,754.740,00000000
6980,760.107,00000000
6990,755.981,00000000
7000,760.565,00000000
7010,755.745,00000000
7020,760.121,00000000
7030,755.492,00000000
7040,760.378,00000000
7050,755.473,00000000
7060,759.736,00000000
7070,754.947,00000000
7080,759.921,00000000
7090,755.632,00000000
7100,759.914,00000000
7110,755.710,00000000
7120,759.769,00000000
7130,755.223,00000000
7140,760.378,00000000
7150,756.003,00000000
7160,760.919,00000000
7170,756.487,00000000
7180,761.078,00000000
7190,756.545,00000000
7200,760.694,00000000
7210,756.711,00000000
7220,760.761,00000000
7230,756.479,00000000
7240,760.881,00000000
7250,756.279,00000000
7260,760.742,00000000
7270,755.440,00000000
7280,759.585,00000000
7290,756.115,00000000
7300,761.165,00000000
7310,756.912,00000000
7320,761.202,00000000
7330,756.362,00000000
7340,760.574,00000000
7350,755.827,00000000
7360,759.027,00000000
7370,755.134,00000000
7380,760.121,00000000
7390,755.690,00000000
7400,759.252,00000000
7410,755.021,00000000
7420,760.393,00000000
7430,755.494,00000000
7440,760.286,00000000
7450,755.620,00000000
7460,760.690,00000000
7470,755.861,00000000
7480,760.126,00000000
7490,755.679,00000000
7500,760.069,00000000
7510,755.289,00000000
7520,760.224,00000000
7530,755.516,00000000
7540,760.190,00000000
7550,756.174,00000000
7560,759.838,00000000
7570,755.632,00000000
7580,759.703,00000000
7590,755.329,00000000
7600,759.676,00000000
7610,754.710,00000000
7620,759.424,00000000
7630,755.156,00000000
7640,759.672,00000000
7650,755.997,00000000
7660,760.165,00000000
7670,755.205,00000000
7680,759.010,00000000
7690,755.997,00000000
7700,760.065,00000000
7710,755.982,00000000
7720,760.165,00000000
7730,755.985,00000000
7740,760.511,00000000
7750,756.084,00000000
7760,760.240,00000000
7770,755.637,00000000
7780,760.100,00000000
7790,755.741,00000000
7800,759.612,00000000
7810,755.324,00000000
7820,759.303,00000000
7830,755.737,00000000
7840,760.559,00000000
7850,757.067,00000000
7860,760.667,00000000
7870,756.434,00000000
7880,760.661,00000000
7890,755.465,00000000
7900,760.078,00000000
7910,755.584,00000000
7920,760.451,00000000
7930,756.218,00000000
7940,759.486,00000000
7950,755.782,00000000
7960,759.124,00000000
7970,755.316,00000000
7980,759.070,00000000
7990,755.702,00000000
8000,759.337,00000000
8010,755.794,00000000
8020,759.349,00000000
8030,755.312,00000000
8040,759.034,00000000
8050,754.396,00000000
8060,758.971,00000000
8070,755.685,00000000
8080,759.577,00000000
8090,755.638,00000000
8100,759.765,00000000
8110,756.165,00000000
8120,760.226,00000000
8130,757.025,00000000
8140,760.733,00000000
8150,756.395,00000000
8160,759.855,00000000
8170,756.377,00000000
8180,759.658,00000000
8190,756.478,00000000
8200,760.430,00000000
8210,756.726,00000000
8220,760.618,00000000
8230,756.605,00000000
8240,760.545,00000000
8250,756.911,00000000
8260,759.518,00000000
8270,756.283,00000000
8280,759.730,00000000
8290,756.721,00000000
8300,759.571,00000000
8310,756.365,00000000
8320,759.493,00000000
8330,755.839,00000000
8340,759.699,00000000
8350,755.998,00000000
8360,758.747,00000000
8370,755.288,00000000
8380,759.202,00000000
8390,756.055,00000000
8400,759.250,00000000
8410,755.837,00000000
8420,760.047,00000000
8430,756.556,00000000
8440,759.855,00000000
8450,756.224,00000000
8460,759.519,00000000
8470,756.582,00000000
8480,760.528,00000000
8490,757.380,00000000
8500,760.041,00000000
8510,756.505,00000000
8520,760.730,00000000
8530,757.080,00000000
8540,760.114,00000000
8550,757.503,00000000
8560,759.972,00000000
8570,756.802,00000000
8580,760.372,00000000
8590,756.261,00000000
8600,759.710,00000000
8610,756.922,00000000
8620,760.712,00000000
8630,757.361,00000000
8640,760.293,00000000
8650,757.387,00000000
8660,759.242,00000000
8670,756.465,00000000
8680,760.049,00000000
8690,756.400,00000000
8700,759.994,00000000
8710,756.717,00000000
8720,760.417,00000000
8730,756.648,00000000
8740,760.073,00000000
8750,756.723,00000000
8760,760.220,00000000
8770,757.146,00000000
8780,760.674,00000000
8790,757.832,00000000
8800,760.673,00000000
8810,757.741,00000000
8820,760.669,00000000
8830,757.545,00000000
8840,760.879,00000000
8850,757.731,00000000
8860,760.785,00000000
8870,757.270,00000000
8880,760.375,00000000
8890,757.282,00000000
8900,760.422,00000000
8910,757.437,00000000
8920,760.990,00000000
8930,757.383,00000000
8940,759.401,00000000
8950,755.851,00000000
8960,758.693,00000000
8970,756.171,00000000
8980,759.802,00000000
8990,756.517,00000000
9000,759.026,00000000
9010,756.356,00000000
9020,758.878,00000000
9030,756.073,00000000
